Random games won/total: 1/1.0, win %: 100.0%, last score: 1.0
Random games won/total: 1/2.0, win %: 50.0%, last score: -1
Random games won/total: 1/3.0, win %: 33.33%, last score: -1
Random games won/total: 1/4.0, win %: 25.0%, last score: -1
Random games won/total: 1/5.0, win %: 20.0%, last score: -1
Random games won/total: 1/6.0, win %: 16.67%, last score: -1
Random games won/total: 1/7.0, win %: 14.29%, last score: -1
Random games won/total: 1/8.0, win %: 12.5%, last score: -1
Random games won/total: 1/9.0, win %: 11.11%, last score: -1
Random games won/total: 2/10.0, win %: 20.0%, last score: 1.0
Random games won/total: 3/11.0, win %: 27.27%, last score: 1.0
Random games won/total: 3/12.0, win %: 25.0%, last score: -1
Random games won/total: 3/13.0, win %: 23.08%, last score: -1
Random games won/total: 3/14.0, win %: 21.43%, last score: -1
Random games won/total: 3/15.0, win %: 20.0%, last score: -1
Random games won/total: 4/16.0, win %: 25.0%, last score: 1.0
Random games won/total: 4/17.0, win %: 23.53%, last score: -1
Random games won/total: 5/18.0, win %: 27.78%, last score: 1.0
Random games won/total: 6/19.0, win %: 31.58%, last score: 1.0
Random games won/total: 7/20.0, win %: 35.0%, last score: 1.0
Random games won/total: 7/21.0, win %: 33.33%, last score: -1
Random games won/total: 8/22.0, win %: 36.36%, last score: 1.0
Random games won/total: 8/23.0, win %: 34.78%, last score: -1
Random games won/total: 9/24.0, win %: 37.5%, last score: 1.0
Random games won/total: 9/25.0, win %: 36.0%, last score: -1
Random games won/total: 10/26.0, win %: 38.46%, last score: 1.0
Random games won/total: 10/27.0, win %: 37.04%, last score: -1
Random games won/total: 11/28.0, win %: 39.29%, last score: 1.0
Random games won/total: 12/29.0, win %: 41.38%, last score: 1.0
Random games won/total: 13/30.0, win %: 43.33%, last score: 1.0
Trained episode: 391, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 430
Trained episode: 392, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 431
Trained episode: 393, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 432
Trained episode: 394, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 433
Trained episode: 395, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 434
Trained episode: 396, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 435
Trained episode: 397, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 436
Trained episode: 398, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 437
Trained episode: 399, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 438
Trained episode: 400, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 439
Trained episode: 401, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 440
Trained episode: 402, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 441
Trained episode: 403, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 442
Trained episode: 404, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 443
Trained episode: 405, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 444
Trained episode: 406, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 445
Trained episode: 407, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 446
Trained episode: 408, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 447
Trained episode: 409, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 448
Trained episode: 410, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 449
Trained episode: 411, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 450
Trained episode: 412, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 451
Trained episode: 413, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 452
Trained episode: 414, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 453
Trained episode: 415, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 454
Trained episode: 416, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 455
Trained episode: 417, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 456
Trained episode: 418, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 457
Trained episode: 419, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 458
Trained episode: 420, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 459
Trained episode: 421, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 460
Trained episode: 422, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 461
Trained episode: 423, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 462
Trained episode: 424, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 463
Trained episode: 425, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 464
Trained episode: 426, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 465
Trained episode: 427, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 466
Trained episode: 428, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 467
Trained episode: 429, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 468
Trained episode: 430, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 469
Trained episode: 431, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 470
Trained episode: 432, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 471
Trained episode: 433, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 472
Trained episode: 434, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 473
Trained episode: 435, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 474
Trained episode: 436, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 475
Trained episode: 437, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 476
Trained episode: 438, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 477
Trained episode: 439, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 478
Trained episode: 440, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 479
Trained episode: 441, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 480
Trained episode: 442, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 481
Trained episode: 443, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 482
Trained episode: 444, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 483
Trained episode: 445, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 484
Trained episode: 446, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 485
Trained episode: 447, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 486
Trained episode: 448, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 487
Trained episode: 449, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 488
Trained episode: 450, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 489
Trained episode: 451, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 490
Trained episode: 452, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 491
Trained episode: 453, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 492
Trained episode: 454, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 493
Trained episode: 455, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 494
Trained episode: 456, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 495
Trained episode: 457, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 496
Trained episode: 458, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 497
Trained episode: 459, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 498
Trained episode: 460, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 499
Trained episode: 461, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 501
Trained episode: 462, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 502
Trained episode: 463, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 503
Trained episode: 464, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 504
Trained episode: 465, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 505
Trained episode: 466, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 506
Trained episode: 467, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 507
Trained episode: 468, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 508
Trained episode: 469, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 509
Trained episode: 470, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 510
Trained episode: 471, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 511
Trained episode: 472, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 512
Trained episode: 473, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 513
Trained episode: 474, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 514
Trained episode: 475, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 515
Trained episode: 476, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 517
Trained episode: 477, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 518
Trained episode: 478, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 519
Trained episode: 479, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 520
Trained episode: 480, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 521
Trained episode: 481, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 522
Trained episode: 482, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 523
Trained episode: 483, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 524
Trained episode: 484, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 525
Trained episode: 485, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 526
Trained episode: 486, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 527
Trained episode: 487, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 528
Trained episode: 488, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 529
Trained episode: 489, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 530
Trained episode: 490, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 531
Trained episode: 491, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 532
Trained episode: 492, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 533
Trained episode: 493, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 534
Trained episode: 494, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 535
Trained episode: 495, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 536
Trained episode: 496, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 537
Trained episode: 497, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 538
Trained episode: 498, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 539
Trained episode: 499, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 541
Trained episode: 500, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 542
Trained episode: 501, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 543
Trained episode: 502, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 544
Trained episode: 503, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 545
Trained episode: 504, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 546
Trained episode: 505, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 547
Trained episode: 506, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 548
Trained episode: 507, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 549
Trained episode: 508, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 550
Trained episode: 509, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 551
Trained episode: 510, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 552
Trained episode: 511, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 553
Trained episode: 512, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 554
Trained episode: 513, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 555
Trained episode: 514, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 556
Trained episode: 515, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 557
Trained episode: 516, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 558
Trained episode: 517, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 559
Trained episode: 518, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 560
Trained episode: 519, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 561
Trained episode: 520, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 562
Trained episode: 521, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 563
Trained episode: 522, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 564
Trained episode: 523, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 565
Trained episode: 524, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 566
Trained episode: 525, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 567
Trained episode: 526, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 570
Trained episode: 527, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 571
Trained episode: 528, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 572
Trained episode: 529, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 573
Trained episode: 530, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 574
Trained episode: 531, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 575
Trained episode: 532, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 576
Trained episode: 533, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 577
Trained episode: 534, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 578
Trained episode: 535, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 579
Trained episode: 536, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 580
Trained episode: 537, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 581
Trained episode: 538, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 582
Trained episode: 539, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 583
Trained episode: 540, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 584
Trained episode: 541, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 585
Trained episode: 542, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 586
Trained episode: 543, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 587
Trained episode: 544, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 588
Trained episode: 545, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 589
Trained episode: 546, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 590
Trained episode: 547, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 591
Trained episode: 548, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 592
Trained episode: 549, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 593
Trained episode: 550, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 594
Trained episode: 551, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 595
Trained episode: 552, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 596
Trained episode: 553, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 597
Trained episode: 554, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 598
Trained episode: 555, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 599
Trained episode: 556, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 600
Trained episode: 557, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 601
Trained episode: 558, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 602
Trained episode: 559, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 603
Trained episode: 560, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 604
Trained episode: 561, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 605
Trained episode: 562, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 606
Trained episode: 563, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 607
Trained episode: 564, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 608
Trained episode: 565, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 609
Trained episode: 566, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 610
Trained episode: 567, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 611
Trained episode: 568, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 612
Trained episode: 569, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 613
Trained episode: 570, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 614
Trained episode: 571, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 615
Trained episode: 572, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 616
Trained episode: 573, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 618
Trained episode: 574, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 619
Trained episode: 575, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 620
Trained episode: 576, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 621
Trained episode: 577, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 622
Trained episode: 578, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 623
Trained episode: 579, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 624
Trained episode: 580, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 625
Trained episode: 581, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 626
Trained episode: 582, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 627
Trained episode: 583, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 628
Trained episode: 584, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 629
Trained episode: 585, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 630
Trained episode: 586, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 631
Trained episode: 587, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 632
Trained episode: 588, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 634
Trained episode: 589, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 635
Trained episode: 590, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 636
Trained episode: 591, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 637
Trained episode: 592, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 638
Trained episode: 593, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 639
Trained episode: 594, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 640
Trained episode: 595, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 641
Trained episode: 596, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 642
Trained episode: 597, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 643
Trained episode: 598, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 645
Trained episode: 599, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 646
Trained episode: 600, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 647
Trained episode: 601, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 648
Trained episode: 602, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 649
Trained episode: 603, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 650
Trained episode: 604, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 651
Trained episode: 605, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 652
Trained episode: 606, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 653
Trained episode: 607, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 654
Trained episode: 608, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 655
Trained episode: 609, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 656
Trained episode: 610, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 657
Trained episode: 611, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 658
Trained episode: 612, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 659
Trained episode: 613, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 660
Trained episode: 614, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 661
Trained episode: 615, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 662
Trained episode: 616, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 663
Trained episode: 617, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 664
Trained episode: 618, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 665
Trained episode: 619, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 667
Trained episode: 620, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 668
Trained episode: 621, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 669
Trained episode: 622, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 670
Trained episode: 623, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 671
Trained episode: 624, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 672
Trained episode: 625, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 673
Trained episode: 626, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 674
Trained episode: 627, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 675
Trained episode: 628, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 677
Trained episode: 629, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 678
Trained episode: 630, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 679
Trained episode: 631, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 680
Trained episode: 632, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 681
Trained episode: 633, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 683
Trained episode: 634, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 684
Trained episode: 635, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 685
Trained episode: 636, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 686
Trained episode: 637, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 687
Trained episode: 638, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 688
Trained episode: 639, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 690
Trained episode: 640, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 691
Trained episode: 641, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 692
Trained episode: 642, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 693
Trained episode: 643, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 694
Trained episode: 644, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 695
Trained episode: 645, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 696
Trained episode: 646, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 697
Trained episode: 647, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 698
Trained episode: 648, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 699
Trained episode: 649, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 700
Trained episode: 650, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 701
Trained episode: 651, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 702
Trained episode: 652, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 703
Trained episode: 653, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 704
Trained episode: 654, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 705
Trained episode: 655, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 706
Trained episode: 656, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 707
Trained episode: 657, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 708
Trained episode: 658, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 709
Trained episode: 659, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 710
Trained episode: 660, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 711
Trained episode: 661, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 712
Trained episode: 662, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 714
Trained episode: 663, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 715
Trained episode: 664, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 716
Trained episode: 665, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 717
Trained episode: 666, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 718
Trained episode: 667, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 719
Trained episode: 668, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 720
Trained episode: 669, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 721
Trained episode: 670, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 722
Trained episode: 671, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 723
Trained episode: 672, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 724
Trained episode: 673, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 725
Trained episode: 674, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 726
Trained episode: 675, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 727
Trained episode: 676, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 728
Trained episode: 677, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 729
Trained episode: 678, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 730
Trained episode: 679, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 731
Trained episode: 680, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 732
Trained episode: 681, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 733
Trained episode: 682, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 734
Trained episode: 683, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 735
Trained episode: 684, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 736
Trained episode: 685, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 737
Trained episode: 686, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 738
Trained episode: 687, current score: -10.0 mean_score: 0.0, e: 0.048, iterations (steps): 739
